objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,youtubeid,image_small,image_thumb,image_alt_text,object_transcript
tower1974_0055,,A new building for Home Ec,University of Wisconsin—Stout,1974,Photos from The Tower (1974) of the new Home Economics building (later Heritage Hall).,Heritage Hall; Home Economics; Home Economics Building,"Menomonie, Wisconsin","Tower Yearbook, University of Wisconsin-Stout",TheTower1974,Image;StillImage,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,Tower1974_0055.jpg,,,,Photos of the new building and classrooms,A new building for Home Ec. The homemakers now have a new home in which to weave their fabric and theories and song.
tower1974_0056,,A new building for Home Ec,University of Wisconsin—Stout,1974,Photos from The Tower (1974) of the new Home Economics building (later Heritage Hall).,Heritage Hall; Home Economics; Home Economics Building,"Menomonie, Wisconsin","Tower Yearbook, University of Wisconsin-Stout",TheTower1974,Image;StillImage,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,Tower1974_0056.jpg,,,,Photos of the new building and classrooms,
stoutonia_v63_1973-1974_0024,,Home-Ec building opens door to innovation,"University of Wisconsin—Stout; Stoutonia Office; Landers, Gail",1973,"Article by Gail Landers from the Stoutonia (volume 63, 1973-1974) about the new Home Economics Building.",Heritage Hall; Home Economics; Home Economics Building,"Menomonie, Wisconsin","Stoutonia Office, University of Wisconsin-Stout",StoutoniaVolume63,Text,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,stoutonia_v63_1973-1974_0024.jpg,,,,Article and photos of the new Home Economics building,/objects/stoutonia_v63_1973-1974_0024_transcript.txt
herhall_press,,Heritage Hall Press Conference,University of Wisconsin—Stout,2023-07-11,"On July 11, 2023, Rep. Clint Moses (R - Menomonie) and Rep. Rob Summerfield (R - Bloomer) joined UW-Stout Chancellor Katherine Frank, Facilities Director Justin Utpadel, and Provost Glendali Rodriguez to announce the successful funding of UW-Stout's Heritage Hall Renovation Project. ",Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,HeritageHallPress,Image;MovingImage,video/vnd.youtube.yt,eng,,,video,,HHdzl9rRTeI,,,,/objects/herhall_press_transcript.txt
tower1977_0036,,The Place to Be,University of Wisconsin—Stout,1977,Photos from the Tower (1977) of Home Economics building,Heritage Hall; Home Economics; Home Economics Building,"Menomonie, Wisconsin","Tower Yearbook, University of Wisconsin-Stout",,Image;StillImage,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,Tower1977_0036.jpg,,,,,
tower1977_0037,,The Place to Be,University of Wisconsin—Stout,1977,Photos from the Tower (1977) of Home Economics building,Heritage Hall; Home Economics; Home Economics Building,"Menomonie, Wisconsin","Tower Yearbook, University of Wisconsin-Stout",,Image;StillImage,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,Tower1977_0037.jpg,,,,,
tower1977_0048,,Dine in Style,University of Wisconsin—Stout,1977,Photos from the Tower (1977) of the Corner Three restaurant in the Home Economics building,Heritage Hall; Home Economics; Home Economics Building; Corner Three,"Menomonie, Wisconsin","Tower Yearbook, University of Wisconsin-Stout",,Image;StillImage,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,Tower1977_0048.jpg,,,,,
tower1977_0049,,Dine in Style,University of Wisconsin—Stout,1977,Photos from the Tower (1977) of the Corner Three restaurant in the Home Economics building,Heritage Hall; Home Economics; Home Economics Building; Corner Three,"Menomonie, Wisconsin","Tower Yearbook, University of Wisconsin-Stout",,Image;StillImage,image/jpeg,eng,Attribution-Noncommercial-No Derivative Works 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,image,Tower1977_0049.jpg,,,,,
herhall_ground,,Heritage Hall Groundbreaking Ceremony,University of Wisconsin—Stout,2025-09-09,Livestream of the groundbreaking ceremony at Heritage Hall.,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,HeritageHallGround,Image;MovingImage,video/vnd.youtube.yt,eng,,,,,9Z2LfgoATj5D1kID,,,,
herhall_202212,,Stepping up: Alumni-based gifts support students leadership Heritage Hall renovation,University of Wisconsin—Stout,2022-12-27,"Article about Herbert and Viola Riebe Fab Lab Endowment and Scholarship, Joanne and Robert Bauer Scholarship, and Becky Cranston Heritage Hall gift.",Heritage Hall; Alumni,"Menomonie, Wisconsin",University of Wisconsin Stout,,Text,application/pdf,eng,,,,Alumni-based_gifts_Heritage_Hall.pdf,,,,,
herhall_202306,,Chancellor’s Statement on Heritage Hall Funding,"University of Wisconsin—Stout; Frank, Katherine P.",2023-06-02,Chancellor’s statement on Heritage Hall funding and renovation,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,Text,application/pdf,eng,,,,Chancellors_Statement_Heritage_Hall.pdf,,,,,
herhall_202213,,"Master’s in school counseling program, centers meet a critical need in Wisconsin, community","Goers, Abbey",2022-12-05,Article about University of Wisconsin-Stout’s Master’s of School Counseling program meeting the growing need of school counselors and psychologists.,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,Text,application/pdf,eng,,,,Mastersschoolcounseling _ Heritage_Hall.pdf,,,,,
herhall_202509,,Power of Partnership’: UW-Stout celebrates groundbreaking for $144M Heritage Hall renovation,"Giffey, Tom",2025-09-10,Article about the groundbreaking for Heritage Hall renovation.,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,Text,application/pdf,eng,,,,Power_of_Partnership_Heritage_Hall.pdf,,,,,
herhall_202511,,Heritage Hall Memory,"Doe, Jane",1975,Submission from Jane Doe for Heritage Hall renovation digital scrapbook.,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,,compound_object,,,,,,,,,,
herhall_202512,herhall_202511,Spinning yarn,,1977,A student works at a spinning wheel.,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,Image;StillImage,image/jpeg,,,,image,AJV2Z45OKXR6QB8F-M-h1380-4311e.jpg,,,,Female student using spinning wheel,
herhall_202513,herhall_202511,Weaving at looms,,1975,Students weave at looms in the Home Economics building (later renamed Heritage Hall).,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,Image;StillImage,image/jpeg,,,,image,AJNZZVSGHTEYOK9E-M-h1380-b6796.jpg,,,,Two female students using looms to weave fabric.,
herhall_202514,,Heritage Hall Memory,"Doe, Jane",1975,Submission from Jane Doe for Heritage Hall renovation digital scrapbook.,Heritage Hall,"Menomonie, Wisconsin",University of Wisconsin Stout,,,multiple,,,,,,,,,,
herhall_202515,herhall_202514,,,,,,,,,Image;StillImage,image/jpeg,,,,image,AJV2Z45OKXR6QB8F-M-h1380-4311e.jpg,,,,Female student using spinning wheel,
herhall_202516,herhall_202514,,,,,,,,,Image;StillImage,image/jpeg,,,,image,AJNZZVSGHTEYOK9E-M-h1380-b6796.jpg,,,,Two female students using looms to weave fabric.,
herhall_202517,,"Stout Jazz Band performing outside for students in front of Heritage Hall, Spring 1990 ",University of Wisconsin—Stout,1990,"Stout Jazz Band performing outside for students in front of Heritage Hall, Spring 1990 ",Heritage Hall; Jazz Band,"Menomonie, Wisconsin",University of Wisconsin Stout,,Image;StillImage,image/jpeg,,,,image,AHM5HVPEGKXLRG86-M-h1380-e60b3.jpg,,,,Jazz band performing outside of building with students looking on from balconies,
